,index,roi,network,1_y,2,3,4,5,6,7,8
0,1,1,unlabeled,roi_0001_no_overlap.rex.tal,46,Cuneus_R,Cuneus,CUN.R,13.51,-79.36,28.23
1,2,2,unlabeled,roi_0002_no_overlap.rex.tal,43,Calcarine_L,Calcarine fissure and surrounding cortex,CAL.L,-7.14,-78.67,6.44
2,3,3,unlabeled,roi_0003_no_overlap.rex.tal,20,Supp_Motor_Area_R,Supplementary motor area,SMA.R,8.62,0.17,61.85
3,4,4,unlabeled,roi_0004_no_overlap.rex.tal,27,Rectus_L,Gyrus rectus,REC.L,-5.08,37.07,-18.14
4,5,5,unlabeled,roi_0005_no_overlap.rex.tal,59,Parietal_Sup_L,Superior parietal gyrus,SPG.L,-23.45,-59.56,58.96
5,6,6,unlabeled,roi_0006_no_overlap.rex.tal,65,Angular_L,Angular gyrus,ANG.L,-44.14,-60.82,35.59
6,7,7,unlabeled,roi_0007_no_overlap.rex.tal,47,Lingual_L,Lingual gyrus,LING.L,-14.62,-67.56,-4.63
7,8,8,unlabeled,roi_0008_no_overlap.rex.tal,23,Frontal_Sup_Medial_L,Superior frontal gyrus medial,SFGmed.L,-4.8,49.17,30.89
8,9,9,unlabeled,roi_0009_no_overlap.rex.tal,64,SupraMarginal_R,Supramarginal gyrus,SMG.R,57.61,-31.5,34.48
9,10,10,unlabeled,roi_0010_no_overlap.rex.tal,55,Fusiform_L,Fusiform gyrus,FFG.L,-31.16,-40.3,-20.23
10,11,11,unlabeled,roi_0011_no_overlap.rex.tal,34,Cingulum_Mid_R,Median cingulate and paracingulate gyri,DCG.R,8.02,-8.83,39.79
11,12,12,unlabeled,roi_0012_no_overlap.rex.tal,63,SupraMarginal_L,Supramarginal gyrus,SMG.L,-55.79,-33.64,30.45
12,13,13,unlabeled,roi_0013_no_overlap.rex.tal,89,Temporal_Inf_L,Inferior temporal gyrus,ITG.L,-49.77,-28.05,-23.17
13,14,14,unlabeled,roi_0014_no_overlap.rex.tal,47,Lingual_L,Lingual gyrus,LING.L,-14.62,-67.56,-4.63
14,15,15,unlabeled,roi_0015_no_overlap.rex.tal,73,Putamen_L,Lenticular nucleus putamen,PUT.L,-23.91,3.86,2.4
15,16,16,unlabeled,roi_0016_no_overlap.rex.tal,43,Calcarine_L,Calcarine fissure and surrounding cortex,CAL.L,-7.14,-78.67,6.44
16,17,17,unlabeled,roi_0017_no_overlap.rex.tal,5,Frontal_Sup_Orb_L,Superior frontal gyrus orbital part,ORBsup.L,-16.56,47.32,-13.31
17,18,18,unlabeled,roi_0018_no_overlap.rex.tal,77,Thalamus_L,Thalamus,THA.L,-10.85,-17.56,7.98
18,19,19,unlabeled,roi_0019_no_overlap.rex.tal,79,Heschl_L,Heschl gyrus,HES.L,-41.99,-18.88,9.98
19,20,20,unlabeled,roi_0020_no_overlap.rex.tal,55,Fusiform_L,Fusiform gyrus,FFG.L,-31.16,-40.3,-20.23
20,21,21,unlabeled,roi_0021_no_overlap.rex.tal,57,Postcentral_L,Postcentral gyrus,PoCG.L,-42.46,-22.63,48.92
21,22,22,unlabeled,roi_0022_no_overlap.rex.tal,80,Heschl_R,Heschl gyrus,HES.R,45.86,-17.15,10.41
22,23,23,unlabeled,roi_0023_no_overlap.rex.tal,33,Cingulum_Mid_L,Median cingulate and paracingulate gyri,DCG.L,-5.48,-14.92,41.57
23,24,24,unlabeled,roi_0024_no_overlap.rex.tal,14,Frontal_Inf_Tri_R,Inferior frontal gyrus triangular part,IFGtriang.R,50.33,30.16,14.17
24,25,25,unlabeled,roi_0025_no_overlap.rex.tal,55,Fusiform_L,Fusiform gyrus,FFG.L,-31.16,-40.3,-20.23
25,26,26,unlabeled,roi_0026_no_overlap.rex.tal,1,Precentral_L,Precental gyrus,PreCG.L,-38.65,-5.68,50.94
26,27,27,unlabeled,roi_0027_no_overlap.rex.tal,20,Supp_Motor_Area_R,Supplementary motor area,SMA.R,8.62,0.17,61.85
27,28,28,unlabeled,roi_0028_no_overlap.rex.tal,83,Temporal_Pole_Sup_L,Temporal pole superior temporal gyrus,TPOsup.L,-39.88,15.14,-20.18
28,29,29,unlabeled,roi_0029_no_overlap.rex.tal,56,Fusiform_R,Fusiform gyrus,FFG.R,33.97,-39.1,-20.18
29,30,30,unlabeled,roi_0030_no_overlap.rex.tal,48,Lingual_R,Lingual gyrus,LING.R,16.29,-66.93,-3.87
30,31,31,unlabeled,roi_0031_no_overlap.rex.tal,58,Postcentral_R,Postcentral gyrus,PoCG.R,41.43,-25.49,52.55
31,32,32,unlabeled,roi_0032_no_overlap.rex.tal,50,Occipital_Sup_R,Superior occipital gyrus,SOG.R,24.29,-80.85,30.59
32,33,33,unlabeled,roi_0033_no_overlap.rex.tal,69,Paracentral_Lobule_L,Paracentral lobule,PCL.L,-7.63,-25.36,70.07
33,34,34,unlabeled,roi_0034_no_overlap.rex.tal,22,Olfactory_R,Olfactory cortex,OLF.R,10.43,15.91,-11.26
34,35,35,unlabeled,roi_0035_no_overlap.rex.tal,47,Lingual_L,Lingual gyrus,LING.L,-14.62,-67.56,-4.63
35,36,36,unlabeled,roi_0036_no_overlap.rex.tal,55,Fusiform_L,Fusiform gyrus,FFG.L,-31.16,-40.3,-20.23
36,37,37,unlabeled,roi_0037_no_overlap.rex.tal,25,Frontal_Mid_Orb_L,Superior frontal gyrus medial orbital,ORBsupmed.L,-5.17,54.06,-7.4
37,38,38,unlabeled,roi_0038_no_overlap.rex.tal,62,Parietal_Inf_R,Inferior parietal but supramarginal and angular gyri,IPL.R,46.46,-46.29,49.54
38,39,39,unlabeled,roi_0039_no_overlap.rex.tal,52,Occipital_Mid_R,Middle occipital gyrus,MOG.R,37.39,-79.7,19.42
39,41,41,unlabeled,roi_0041_no_overlap.rex.tal,70,Paracentral_Lobule_R,Paracentral lobule,PCL.R,7.48,-31.59,68.09
40,42,42,unlabeled,roi_0042_no_overlap.rex.tal,85,Temporal_Mid_L,Middle temporal gyrus,MTG.L,-55.52,-33.8,-2.2
41,43,43,unlabeled,roi_0043_no_overlap.rex.tal,53,Occipital_Inf_L,Inferior occipital gyrus,IOG.L,-36.36,-78.29,-7.84
42,44,44,unlabeled,roi_0044_no_overlap.rex.tal,2,Precentral_R,Precental gyrus,PreCG.R,41.37,-8.21,52.09
43,45,45,unlabeled,roi_0045_no_overlap.rex.tal,55,Fusiform_L,Fusiform gyrus,FFG.L,-31.16,-40.3,-20.23
44,46,46,unlabeled,roi_0046_no_overlap.rex.tal,9,Frontal_Mid_Orb_L,Middle frontal gyrus orbital part,ORBmid.L,-30.65,50.43,-9.62
45,47,47,unlabeled,roi_0047_no_overlap.rex.tal,45,Cuneus_L,Cuneus,CUN.L,-5.93,-80.13,27.22
46,48,48,unlabeled,roi_0048_no_overlap.rex.tal,86,Temporal_Mid_R,Middle temporal gyrus,MTG.R,57.47,-37.23,-1.47
47,49,49,unlabeled,roi_0049_no_overlap.rex.tal,17,Rolandic_Oper_L,Rolandic operculum,ROL.L,-47.16,-8.48,13.95
48,50,50,unlabeled,roi_0050_no_overlap.rex.tal,21,Olfactory_L,Olfactory cortex,OLF.L,-8.06,15.05,-11.46
49,51,51,unlabeled,roi_0051_no_overlap.rex.tal,63,SupraMarginal_L,Supramarginal gyrus,SMG.L,-55.79,-33.64,30.45
50,52,52,unlabeled,roi_0052_no_overlap.rex.tal,16,Frontal_Inf_Orb_R,Inferior frontal gyrus orbital part,ORBinf.R,41.22,32.23,-11.91
51,53,53,unlabeled,roi_0053_no_overlap.rex.tal,32,Cingulum_Ant_R,Anterior cingulate and paracingulate gyri,ACG.R,8.46,37.01,15.84
52,54,54,unlabeled,roi_0054_no_overlap.rex.tal,69,Paracentral_Lobule_L,Paracentral lobule,PCL.L,-7.63,-25.36,70.07
53,55,55,unlabeled,roi_0055_no_overlap.rex.tal,16,Frontal_Inf_Orb_R,Inferior frontal gyrus orbital part,ORBinf.R,41.22,32.23,-11.91
54,56,56,unlabeled,roi_0056_no_overlap.rex.tal,13,Frontal_Inf_Tri_L,Inferior frontal gyrus triangular part,IFGtriang.L,-45.58,29.91,13.99
55,57,57,unlabeled,roi_0057_no_overlap.rex.tal,2,Precentral_R,Precental gyrus,PreCG.R,41.37,-8.21,52.09
56,58,58,unlabeled,roi_0058_no_overlap.rex.tal,47,Lingual_L,Lingual gyrus,LING.L,-14.62,-67.56,-4.63
57,59,59,unlabeled,roi_0059_no_overlap.rex.tal,22,Olfactory_R,Olfactory cortex,OLF.R,10.43,15.91,-11.26
58,60,60,unlabeled,roi_0060_no_overlap.rex.tal,53,Occipital_Inf_L,Inferior occipital gyrus,IOG.L,-36.36,-78.29,-7.84
59,61,61,unlabeled,roi_0061_no_overlap.rex.tal,48,Lingual_R,Lingual gyrus,LING.R,16.29,-66.93,-3.87
60,62,62,unlabeled,roi_0062_no_overlap.rex.tal,83,Temporal_Pole_Sup_L,Temporal pole superior temporal gyrus,TPOsup.L,-39.88,15.14,-20.18
61,63,63,unlabeled,roi_0063_no_overlap.rex.tal,56,Fusiform_R,Fusiform gyrus,FFG.R,33.97,-39.1,-20.18
62,64,64,unlabeled,roi_0064_no_overlap.rex.tal,88,Temporal_Pole_Mid_R,Temporal pole middle temporal gyrus,TPOmid.R,44.22,14.55,-32.23
63,65,65,unlabeled,roi_0065_no_overlap.rex.tal,39,ParaHippocampal_L,Parahippocampal gyrus,PHG.L,-21.17,-15.95,-20.7
64,66,66,unlabeled,roi_0066_no_overlap.rex.tal,26,Frontal_Mid_Orb_R,Superior frontal gyrus medial orbital,ORBsupmed.R,8.16,51.67,-7.13
65,67,67,unlabeled,roi_0067_no_overlap.rex.tal,44,Calcarine_R,Calcarine fissure and surrounding cortex,CAL.R,15.99,-73.15,9.4
